word,pinyin,meaning
阿姨,āyí,おばさん・（挨拶での）お姉さん
矮,ǎi,（背や高さが）低い
爱人,àiren,配偶者（夫・妻）
安静,ānjìng,静かだ・穏やかだ
安全,ānquán,安全だ
把,bǎ,〜を（処置を表す介詞）・取っ手のあるものを数える量詞
搬,bān,（重いものを）運ぶ・動かす
班级,bānjí,クラス・学級
搬家,bānjiā,引っ越しする
办,bàn,する・処理する・手続きする
办法,bànfǎ,方法・やり方
办公室,bàngōngshì,オフィス・事務室
半天,bàntiān,半日・（比喩的に）長い時間
帮助,bāngzhù,助ける・手伝う
饱,bǎo,お腹がいっぱいだ
报纸,bàozhǐ,新聞
北,běi,北
北方,běifāng,北方・中国の北部
被,bèi,〜に〜される（受身を表す介詞）
笔记,bǐjì,ノート・メモ・筆記
比较,bǐjiào,比較的・割に・比較する
笔记本,bǐjìběn,ノート・ノートパソコン
比如,bǐrú,例えば
比赛,bǐsài,試合・コンテスト・競う
必须,bǐxū,必ず〜しなければならない
变,biàn,変わる・変化する
遍,biàn,〜回・〜遍（動作の全過程を数える量詞）
变成,biànchéng,〜に変わる・〜になる
变化,biànhuà,変化・変化する
表演,biǎoyǎn,演技する・演奏する・パフォーマンス
别的,biéde,ほかの・別の
别人,biérén,他人・ほかの人
宾馆,bīnguǎn,ホテル・旅館
冰,bīng,氷
冰激凌,bīngjīlíng,アイスクリーム
冰箱,bīngxiāng,冷蔵庫
病人,bìngrén,病人・患者
不但,búdàn,〜ばかりでなく（後ろに而且などを伴う）
不见,bújiàn,見えなくなる・なくなる・会わない
不用,búyòng,〜する必要はない・〜には及ばない
不同,bùtóng,異なる・違う
不久,bùjiǔ,まもなく・やがて・しばらくして
不行,bùxíng,だめだ・いけない
才,cái,（遅くなって）ようやく・わずかに・〜だからこそ
菜单,càidān,メニュー
参加,cānjiā,参加する・加わる
草,cǎo,草
草地,cǎodì,芝生・草地
层,céng,階・層（建物の階数などを数える量詞）
查,chá,調べる・検査する・調べる
差,chà,劣る・足りない・差
差不多,chàbuduō,だいたい・ほとんど同じ・大差ない
尝,cháng,味わう・食べてみる
常,cháng,いつも・よく
常见,chángjiàn,よく見かける・ありふれた
常用,chángyòng,日常的によく使う
常常,chángcháng,しばしば・たびたび・よく
衬衫,chènshān,シャツ・ブラウス
成绩,chéngjì,成績・スコア・成果
城市,chéngshì,都市・都会
迟到,chídào,遅刻する
出发,chūfā,出発する
出生,chūshēng,生まれる
出院,chūyuàn,退院する
初中,chūzhōng,中学校
除了,chúle,〜を除いて・〜のほかに
船,chuán,船
春天,chūntiān,春
词典,cídiǎn,辞典・辞書
聪明,cōngmíng,頭が良い・賢い
打扫,dǎsǎo,掃除する
打算,dǎsuàn,〜するつもりだ・計画・予定
大概,dàgài,おそらく・およそ・大体のところ
大人,dàren,大人・成人
大小,dàxiǎo,大きさ・サイズ
大熊猫,dàxióngmāo,ジャイアントパンダ
大衣,dàyī,コート・オーバー
带,dài,持つ・携帯する・連れていく・リボン
担心,dānxīn,心配する
蛋糕,dàngāo,ケーキ
当然,dāngrán,もちろん・当然
到处,dàochù,いたるところ・あちこち
得,de,（動詞・形容詞の後に置き可能性や状態を表す構造助詞）
得到,dédào,得る・手に入れる
得分,défēn,得点する・スコア
的话,dehuà,〜ならば（仮定を表す）
得,děi,〜しなければならない・（時間などが）かかる
灯,dēng,灯り・ランプ・ライト
地,dì,地面・土地・場所
地点,dìdiǎn,地点・場所
地方,dìfang,場所・ところ・地方
地图,dìtú,地図
电,diàn,電気・雷
电梯,diàntī,エレベーター
电子书,diànzǐshū,電子書籍
丢,diū,なくす・捨てる
东,dōng,東
东北,dōngběi,東北・中国東北地方
东方,dōngfāng,東方・東
东南,dōngnán,東南
冬天,dōngtiān,冬
懂得,dǒngde,理解する・よく知っている
动物,dòngwù,動物
动物园,dòngwùyuán,動物園
短,duǎn,短い
短裤,duǎnkù,ショートパンツ・半ズボン
段,duàn,区切り・期間（文章の段落や道のり、時間を数える量詞）
锻炼,duànliàn,（体を）鍛える・スポーツをする
对话,duìhuà,対話する・会話・ダイアログ
饿,è,お腹が空く
而且,érqiě,その上・しかも
耳朵,ěrduo,耳
耳机,ěrjī,イヤホン・ヘッドホン
发,fā,送る・送信する・発行する・（メールなどを）出す
发烧,fāshāo,熱を出す・発熱する
发生,fāshēng,（事件などが）起きる・発生する
发现,fāxiàn,気づく・発見する
发展,fāzhǎn,発展する・発展
方便,fāngbiàn,便利な・都合が良い
方便面,fāngbiànmiàn,インスタントラーメン
方法,fāngfǎ,方法・やり方
方向,fāngxiàng,方向・方角・向き
房子,fángzi,家・部屋・アパート
放,fàng,置く・放す・放つ
放假,fàngjià,休みになる・休暇になる
放心,fàngxīn,安心する・ほっとする
放学,fàngxué,下校する・学校が終わる
分开,fēnkāi,分かれる・離れる・別々にする
风,fēng,風
封,fēng,通（手紙や封筒に入ったものを数える量詞）
夫妻,fūqī,夫婦
服务,fúwù,サービスする・給仕する・奉仕
附近,fùjìn,附近・近く・近所
复习,fùxí,復習する
该,gāi,〜すべきだ・〜の番だ
干净,gānjìng,清潔だ・きれいだ
感兴趣,gǎn xìngqù,興味がある
感到,gǎndào,感じる・気がする
感冒,gǎnmào,風邪をひく・風邪
干,gàn,やる・行う
刚,gāng,たった今・〜したばかり
刚才,gāngcái,さっき・たった今（名詞）
刚刚,gānggang,たった今・ちょうど・〜したばかり（副詞）
高铁,gāotiě,新幹線・高速鉄道
根据,gēnjù,〜に基づいて・根拠
更,gèng,さらに・もっと
公斤,gōngjīn,キログラム
公园,gōngyuán,公園
工作日,gōngzuòrì,平日・営業日
故事,gùshi,物語・ストーリー
刮,guā,（風が）吹く・（ひげを）剃る
关,guān,閉める・消す・閉じる・関門
关机,guānjī,（スマホ等の電源を）切る・シャットダウンする
关系,guānxì,関係・関わり
关心,guānxīn,関心を持つ・心配する・思いやる
关于,guānyú,〜について・〜に関する
关注,guānzhù,注目する・関心を寄せる・フォローする
国家,guójiā,国家・国
过节,guòjié,お祭りを祝う・祝日を過ごす
过去,guòqù,過去・これまで・通り過ぎる
海,hǎi,海・オーシャン
害怕,hàipà,怖がる・恐れる
好多,hǎoduō,たくさんの・多くの
好久,hǎojiǔ,長い間・久しぶり
好像,hǎoxiàng,まるで〜のようだ・〜らしい
号码,hàomǎ,番号・ナンバー
河,hé,川
